"Subtribe","Species Name","Authority","Synonymous","Chromosome number  (2n)","Chromosome number  (n)","Chromosome number  Reference","Genome Size (1C (pg))","Genome Size Reference"
"Catasetinae","Catasetum juruenense ","Hoehne",,66,"NA","Vieira (2013)",06.06,"Vieira (2013)"
"Catasetinae","Genus Galeandra Lindl. (39 species)",,,,,,,
"Catasetinae","Galeandra baueri","Lindl.","Galeandra cristata Lindl.; Galeandra funckiana Lindl. ex Rchb.f.; Galeandra funckii Lindl. ex Rchb.f. ",56,"NA","Aoyama (1989)","NA",
"Catasetinae","Galeandra beyrichii","Rchb.f.","Galeandra coxipoensis Hoehne; Galeandra fiebrigii Schltr.; Galeandra viridis Barb.Rodr. ",54,"NA","Daviña et al. (2009)","NA",
"Catasetinae","Galeandra devoniana","M.R.Schomb. ex Lindl.","Galeandra devoniana var. delphina L.Linden & Rodigas ",56,"NA","Aoyama (1989)","NA",
"Catasetinae","Genus Grobya Lindl. (5 species)",,,,,,,
"Catasetinae","Grobya amherstiae","Lindl.",,54,"NA","Aoyama (1989)","NA",
"Catasetinae","Genus Clowesia Lindl. (7 species)",,,,,,,
"Catasetinae","Clowesia russelliana ","(Hook.) Dodson","Catasetum calceolatum Lem.; Catasetum russellianum Hook.; Cycnoches viride K.Koch ",54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Clowesia thylaciochila","(Lem.) Dodson","Catasetum thylaciochilum Lem. ",54,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Genus Cycnoches Lindl. (34 species)",,,,,,,
"Catasetinae","Cycnoches chlorochilon ","Klotzsch","Cycnoches ventricosum var. chlorochilon (Klotzsch) P.H.Allen ",68,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Cycnoches egertonianum ","Bateman","Cycnoches amparoanum Schltr.; Cycnoches egertonianum var. egertonianum; Cycnoches glanduliferum A. Rich. & Galeotti ex Hemsl.; Cycnoches pauciflorum Schltr.; Cycnoches ventricosum var. egertonianum (Bateman) Hook. ","c.68","NA","Jones & Daker (1968)","NA",
"Catasetinae","Cycnoches loddigesii ","Lindl.","Cycnoches cucullatum Lindl.; Cycnoches loddigesii var. leucochilum Hook. ",64,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Cycnoches ventricosum ","Bateman",,68,"NA","Jones & Daker (1968)","NA",
"Catasetinae","Genus Mormodes Lindl. (83 species)",,,,,,,
"Catasetinae","Mormodes rolfeana ","L. Linden",,54,"NA","Nakata & Hashimoto (1990)","NA",
"Catasetinae","Mormodes buccinator ","Lindl.","Catasetum buccinator Lindl. ex Stein; Mormodes amazonica Brade; Mormodes brachystachya Klotzsch; Mormodes buccinator var. aurantiacum Rolfe; Mormodes buccinator var. major Rchb.f.; Mormodes buccinator var. theiochlora Rchb.f.; Mormodes flavida Klotzsch ; Mormodes lentiginosa Hook.; Mormodes leucochila Klotzsch; Mormodes marmorea Klotzsch; Mormodes theiochlora (Rchb.f.) Salazar; Mormodes vitellina Klotzsch; Mormodes wageneriana Klotzsch ",54,"NA","Jones & Daker (1968)","NA",
