Subtribe,Species Name,Authority,Synonymous,Chromosome number (2n),Chromosome number (n),Chromosome Number Reference,Genome Size (1C (pg)),Genome Size Reference
Catasetinae Lindl.,Catasetum schmidtianum,F.E.L.Miranda & K.G.Lacerda,,54,NA,De Oliveira et al. (2013),06.05,Vieira (2013)
Catasetinae Lindl.,Catasetum triodon,Rchb.f.,Catasetum monodon Kraenzl. ,54,NA,De Oliveira et al. (2013),NA,
Catasetinae Lindl.,Catasetum confusum,G.A.Romero,,56,NA,Borges (2015),NA,
Catasetinae Lindl.,Catasetum confusum,G.A.Romero,,56,NA,De Oliveira et al. (2013),NA,
Catasetinae Lindl.,Catasetum maranhense,Lacerda & Silva,,54,NA,De Oliveira et al. (2013),NA,
Catasetinae Lindl.,Catasetum mattosianum,Bicalho,,54,NA,De Oliveira et al. (2013),NA,
Catasetinae Lindl.,Catasetum ornithoides,Pabst,,54,NA,De Oliveira et al. (2013),NA,
Catasetinae Lindl.,Catasetum discolor,(Lindl.) Lindl.,Catasetum ciliatum Barb.Rodr.; Catasetum claesianum L.Linden & Cogn.; Catasetum discolor var. bushnanii Cogn.; Catasetum discolor var. claesianum (L.Linden & Cogn.) Mansf.; Catasetum discolor var. fimbriatum Rchb.f.; Catasetum discolor var. vinosum Cogn.; Catasetum discolor var. viridiflorum Cogn.; Monachanthus bushnanii Hook.; Monachanthus discolor Lindl.; Monachanthus discolor var. bushnanii Hook.; Monachanthus discolor var. viridiflorus Hook. ,108,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum discolor,(Lindl.) Lindl.,Catasetum ciliatum Barb.Rodr.; Catasetum claesianum L.Linden & Cogn.; Catasetum discolor var. bushnanii Cogn.; Catasetum discolor var. claesianum (L.Linden & Cogn.) Mansf.; Catasetum discolor var. fimbriatum Rchb.f.; Catasetum discolor var. vinosum Cogn.; Catasetum discolor var. viridiflorum Cogn.; Monachanthus bushnanii Hook.; Monachanthus discolor Lindl.; Monachanthus discolor var. bushnanii Hook.; Monachanthus discolor var. viridiflorus Hook. ,108,NA,De Oliveira et al. (2013),NA,
Catasetinae Lindl.,Catasetum atratum,Lindl.,Catasetum pallidum Klotzsch;Monachanthus atratus (Lindl.) Linden ,c.108,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum callosum ,Lindl.,"Catasetum acallosum Lindl. ex Rchb.f.; Catasetum arachnoides Ames; Catasetum arachnoideum Ames; Catasetum callosum var. grandiflorum Hook.; Catasetum darwinianum Rolfe; Catasetum fuliginosum Lindl.; Catasetum fuliginosum Rolfe;Catasetum landsbergii Lindl. & Paxton; Catasetum recurvatum Link, Klotzsch & Otto; Myanthus callosus Beer; Myanthus grandiflorus Beer; Myanthus landsbergii (Lindl. & Paxton) Reinw. & de Vriese ",108,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum cassideum,Linden & Rchb.f.,,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum cernuum ,(Lindl.) Rchb.f.,Catasetum cernuum var. revolutum Cogn.; Catasetum cernuum var. umbrosum (Barb.Rodr.) Cogn.; Catasetum trifidum Hook.; Catasetum umbrosum Barb.Rodr.; Catasetum viride (Lindl.) Lindl.; Monachanthus viridis Lindl.; Myanthus cernuus Lindl. ,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum fimbriatum ,(C.Morren) Lindl.,Catasetum cogniauxii L.Linden; Catasetum fimbriatum var. aurantiacum Porsch; Catasetum fimbriatum var. brevipetalum Porsch; Catasetum fimbriatum var. fissum Rchb.f.; Catasetum fimbriatum var. inconstans (Hoehne) Mansf.; Catasetum fimbriatum var. micranthum Porsch; Catasetum fimbriatum var. morrenianum Mansf.; Catasetum fimbriatum var. ornithorrhynchum (Porsch) Mansf.; Catasetum fimbriatum var. platypterum Rchb.f.; Catasetum fimbriatum var. subtropicale Hauman; Catasetum fimbriatum var. viridulum Rchb.f.; Catasetum inconstans Hoehne; Catasetum ornithorrhynchum Porsch; Catasetum pflanzii Schltr.; Catasetum wredeanum Schltr.; Myanthus fimbriatus C.Morren ,108,NA,Jones & Daker (1968),11.34,Vieira (2013)
Catasetinae Lindl.,Catasetum integerrimum,Hook.,Catasetum integerrimum var. purpurascens Hook.; Catasetum integerrimum var. viridiflorum Hook.; Catasetum wailesii Hook. ,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum luridum ,(Link) Lindl.,Anguloa lurida Link; Catasetum abruptum Hook.; Catasetum lituratum Hoffmanns.; Catasetum squalidum Hoffmanns.;Epidendrum ollare Vell. ,c.54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum pileatum ,Rchb.f.,Catasetum bungerothii N.E.Br.; Catasetum bungerothii var. album Linden & Rodigas; Catasetum bungerothii var. aurantiacum Cogn.; Catasetum bungerothii var. imperiale (L.Linden & Cogn.) Cogn.; Catasetum bungerothii var. lindenii Gower; Catasetum bungerothii var. pottsianum L.Linden & Rodigas; Catasetum bungerothii var. randii Rodigas; Catasetum bungerothii var. regale Gower; Catasetum imperiale L.Linden & Cogn.; Catasetum pileatum var. album (Linden & Rodigas) Hoehne; Catasetum pileatum var. imperiale (L.Linden & Cogn.) Cogn. ex Hoehne; Catasetum pileatum var. lindenii (Gower) Hoehne; Catasetum pileatum var. regale (Gower) Hoehne; Catasetum × splendens var. imperiale (L.Linden & Cogn.) Rolfe ,c.108,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum planiceps ,Lindl.,Catasetum chloranthum Cogn.; Catasetum hymenophorum Cogn. ,"c.108, c.162",NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum viridiflavum ,Hook.,Catasetum serratum Lindl.,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum deltoideum ,(Lindl.) Mutel,,c.54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum x altaflorestense ,Benelli & Grade,,80,NA,Vieira (2013),06.04,Vieira (2013)
Catasetinae Lindl.,Catasetum boyi ,Mansf.,,54,NA,Vieira (2013),06.03,Vieira (2013)
Catasetinae Lindl.,Catasetum blackii ,Pabst,,66,NA,Vieira (2013),06.06,Vieira (2013)
Catasetinae Lindl.,Catasetum socco,(Vell.) Hoehne,Catasetum lichtensteinii Kraenzl.; Catasetum trulla Lindl.; Catasetum trulla var. lichtensteinii (Kraenzl.) Mansf.; Catasetum trulla var. maculatissimum Rchb.f.; Catasetum trulla var. subimberbe Rchb.f.; Catasetum trulla var. typum Hoehne; Cypripedium socco Vell.; Paphiopedilum socco (Vell.) Pfitzer ,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Catasetum juruenense ,Hoehne,,66,NA,Vieira (2013),06.06,Vieira (2013)
Catasetinae Lindl.,Genus Galeandra Lindl. (39 species),,,,,,,
Catasetinae Lindl.,Galeandra baueri,Lindl.,Galeandra cristata Lindl.; Galeandra funckiana Lindl. ex Rchb.f.; Galeandra funckii Lindl. ex Rchb.f. ,56,NA,Aoyama (1989),NA,
Catasetinae Lindl.,Galeandra beyrichii,Rchb.f.,Galeandra coxipoensis Hoehne; Galeandra fiebrigii Schltr.; Galeandra viridis Barb.Rodr. ,54,NA,Daviña et al. (2009),NA,
Catasetinae Lindl.,Galeandra devoniana,M.R.Schomb. ex Lindl.,Galeandra devoniana var. delphina L.Linden & Rodigas ,56,NA,Aoyama (1989),NA,
Catasetinae Lindl.,Genus Grobya Lindl. (5 species),,,,,,,
Catasetinae Lindl.,Grobya amherstiae,Lindl.,,54,NA,Aoyama (1989),NA,
Catasetinae Lindl.,Genus Clowesia Lindl. (7 species),,,,,,,
Catasetinae Lindl.,Clowesia russelliana ,(Hook.) Dodson,Catasetum calceolatum Lem.; Catasetum russellianum Hook.; Cycnoches viride K.Koch ,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Clowesia thylaciochila,(Lem.) Dodson,Catasetum thylaciochilum Lem. ,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Genus Cycnoches Lindl. (34 species),,,,,,,
Catasetinae Lindl.,Cycnoches chlorochilon ,Klotzsch,Cycnoches ventricosum var. chlorochilon (Klotzsch) P.H.Allen ,68,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Cycnoches egertonianum ,Bateman,Cycnoches amparoanum Schltr.; Cycnoches egertonianum var. egertonianum; Cycnoches glanduliferum A. Rich. & Galeotti ex Hemsl.; Cycnoches pauciflorum Schltr.; Cycnoches ventricosum var. egertonianum (Bateman) Hook. ,c.68,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Cycnoches loddigesii ,Lindl.,Cycnoches cucullatum Lindl.; Cycnoches loddigesii var. leucochilum Hook. ,64,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Cycnoches ventricosum ,Bateman,,68,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Genus Mormodes Lindl. (83 species),,,,,,,
Catasetinae Lindl.,Mormodes rolfeana ,L. Linden,,54,NA,Nakata & Hashimoto (1990),NA,
Catasetinae Lindl.,Mormodes buccinator ,Lindl.,Catasetum buccinator Lindl. ex Stein; Mormodes amazonica Brade; Mormodes brachystachya Klotzsch; Mormodes buccinator var. aurantiacum Rolfe; Mormodes buccinator var. major Rchb.f.; Mormodes buccinator var. theiochlora Rchb.f.; Mormodes flavida Klotzsch ; Mormodes lentiginosa Hook.; Mormodes leucochila Klotzsch; Mormodes marmorea Klotzsch; Mormodes theiochlora (Rchb.f.) Salazar; Mormodes vitellina Klotzsch; Mormodes wageneriana Klotzsch ,54,NA,Jones & Daker (1968),NA,
Catasetinae Lindl.,Mormodes lineata ,Bateman ex Lindl.,Catasetum trimerochilum Lem.; Mormodes histrio Linden & Rchb.f.,54,NA,Jones & Daker (1968),NA,
Coeliopsidinae Benth.,Genus Peristeria Hook. (13 species),,,,,,,
Coeliopsidinae Benth.,Peristeria elata,Hook.,,40,NA,Jones et al. (1998),4.70,Jones et al. (1998)
Coeliopsidinae Benth.,Peristeria guttata,Knowles & Westc.,Lycomormium minus Kraenzl. ,40,NA,Daker & Jones (1970),NA,
Cymbidiinae Benth.,Genus Ansellia Lindl. (1 species),,,,,,,
Cymbidiinae Benth.,Ansellia africana ,Lindl.,Ansellia africana subsp. africana; Ansellia africana var. nilotica Baker; Ansellia confusa N.E.Br.; Ansellia congoensis Rodigas; Ansellia gigantea Rchb.f.; Ansellia gigantea subsp. nilotica (Baker) Senghas; Ansellia gigantea var. nilotica (Baker) Summerh.; Ansellia humilis W.Bull; Ansellia nilotica (Baker) N.E.Br.; Cymbidium sandersonii Harv. ,42,NA,Aoyama (1989),1.86,Rupp et al. (2010)
Cymbidiinae Benth.,Genus Cymbidium Sw. (83 species),,,,,,,
Cymbidiinae Benth.,Cymbidium aliciae,Quisumb.,Cymbidium cyperifolium var. aliciae (Quisumb.) O.Gruss & M.Wolff ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium aloifolium,(L.) Sw.,Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ,40,NA,Aoyama (1989),4.70,Narayan et al. (1989)
Cymbidiinae Benth.,Cymbidium aloifolium,(L.) Sw.,Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ,40,NA,Vij et al. (1982) ,4.71,Narayan et al. (1989)
Cymbidiinae Benth.,Cymbidium aloifolium,(L.) Sw.,Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ,40,NA,Singh (1981),4.72,Narayan et al. (1989)
Cymbidiinae Benth.,Cymbidium aloifolium,(L.) Sw.,Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ,40,NA,Biswas (1980a),4.73,Narayan et al. (1989)
Cymbidiinae Benth.,Cymbidium aloifolium,(L.) Sw.,Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ,40,NA,Chen et al. (2003),4.74,Narayan et al. (1989)
Cymbidiinae Benth.,Cymbidium aloifolium,(L.) Sw.,Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ,40,NA,Roy & Biswas (2001),4.75,Narayan et al. (1989)
Cymbidiinae Benth.,Cymbidium atropurpureum,(Lindl.) Rolfe,Cymbidium atropurpureum var. olivaceum J.J.Sm.; Cymbidium finlaysonianum var. atropurpureum (Lindl.) A.H.Kent; Cymbidium finlaysonianum var. atropurpureum (Lindl.) Veitch; Cymbidium pendulum var. atropurpureum Lindl. ,40,NA,Pancho (1965),NA,
Cymbidiinae Benth.,Cymbidium bicolor,Lindl. ,Cymbidium bicolor subsp. bicolor  ,42,NA,Zaman & Sultana (1983),NA,
Cymbidiinae Benth.,Cymbidium bicolor,Lindl. ,Cymbidium bicolor subsp. bicolor  ,40,NA,Swamy (1941),NA,
Cymbidiinae Benth.,Cymbidium canaliculatum,R.Br.,Cymbidium canaliculatum f. aureolum Rupp; Cymbidium canaliculatum f. barrettii (Nicholls) O.Gruss & M.Wolff; Cymbidium canaliculatum f. fuscum Rupp; Cymbidium canaliculatum f. purpurascens Rupp; Cymbidium canaliculatum f. sparkesii (Rendle) O.Gruss & M.Wolff; Cymbidium canaliculatum var. barrettii Nicholls; Cymbidium canaliculatum var. marginatum Rupp; Cymbidium canaliculatum var. sparkesii (Rendle) F.M.Bailey; Cymbidium sparkesii Rendle ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium cerinum ,Schltr.,,NA,NA,,4.05,Nagl & Capesius (1977)
Cymbidiinae Benth.,Cymbidium chloranthum,Lindl.,Cymbidium chloranthum subsp. chloranthum; Cymbidium pulchellum Schltr.; Cymbidium sanguineum Teijsm. & Binn.; Cymbidium sanguinolentum Teijsm. & Binn.; Cymbidium variciferum Rchb.f. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium cochleare,Lindl.,Cymbidium babae (Kudô ex Masam.) Masam.; Cymbidium kanran var. babae (Kudô ex Masam.) S.S. Ying; Cyperorchis babae Kudô ex Masam.; Cyperorchis cochleare (Lindl.) Benth.; Cyperorchis cochlearis (Lindl.) Benth.; Cyperorchis kanran var. babae (Kudô ex Masam.) S.S. Ying ,40,NA,Vij et al. (1982),NA,
Cymbidiinae Benth.,Cymbidium cyperifolium,Wall. ex Lindl.,Cymbidium carnosum Griff.; Cymbidium cyperifolium subsp. cyperifolium; Cymbidium viridiflorum Griff.; Cyperorchis wallichii Blume; Geodorum longifolium (Roxb.) Voigt; Limodorum cyperifolium Buch.-Ham. ex Lindl.; Limodorum longifolium Roxb. ,40,NA,Vij et al. (1982),NA,
Cymbidiinae Benth.,Cymbidium cyperifolium,Wall. ex Lindl.,Cymbidium carnosum Griff.; Cymbidium cyperifolium subsp. cyperifolium; Cymbidium viridiflorum Griff.; Cyperorchis wallichii Blume; Geodorum longifolium (Roxb.) Voigt; Limodorum cyperifolium Buch.-Ham. ex Lindl.; Limodorum longifolium Roxb. ,40,NA,Biswas (1980b),NA,
Cymbidiinae Benth.,Cymbidium dayanum,Rchb.f.,Cymbidium acutum Ridl.; Cymbidium alborubens Makino; Cymbidium angustifolium Ames & C.Schweinf.; Cymbidium dayanum subsp. leachianum (Rchb.f.) S.S.Ying; Cymbidium dayanum var. albiflorum S.S. Ying; Cymbidium dayanum var. austrojaponicum Tuyama; Cymbidium dayanum var. leachianum (Rchb. f.) S.S. Ying; Cymbidium eburneum var. austrojaponicum (Tuyama) M.Hiroe; Cymbidium eburneum var. dayanum (Rchb.f.) Hook.f.; Cymbidium eburneum var. dayi Jennings; Cymbidium leachianum Rchb.f.; Cymbidium poilanei Gagnep.; Cymbidium pulcherrimum Sander; Cymbidium simonsianum King & Pantl.; Cymbidium simonsianum f. vernale Makino; Cymbidium sutepense Rolfe ex Downie,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium devonianum,Paxton,Cymbidium rigidum Z.J.Liu & S.C.Chen; Cymbidium sikkimense Hook.f. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium eburneum,Lindl.,Cymbidium eburneum var. longzhouense Z.J.Liu & S.C.Chen; Cymbidium eburneum var. philbrickianum Rchb.f.; Cymbidium eburneum var. williamsianum Rchb.f.; Cymbidium syringodorum Griff.; Cyperorchis eburnea (Lindl.) Schltr.,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium elegans,Lindl.,Cymbidium densiflorum Griff.; Cymbidium elegans var. elegans; Cymbidium elegans var. lutescens Hook.f.; Cymbidium elegans var. obcordatum Rchb.f.; Cymbidium longifolium D.Don; Cyperorchis elegans (Lindl.) Blume; Cyperorchis longifolia (D.Don) Schltr.; Limodorum angustifolium Buch.-Ham. ex Lindl. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium ensifolium,(L.) Sw.,Cymbidium albomarginatum Makino; Cymbidium arrogans Hayata; Cymbidium ensifolium f. arcuatum T.C.Yen; Cymbidium ensifolium f. falcatum T.C.Yen; Cymbidium ensifolium f. flaccidior Makino; Cymbidium ensifolium var. misericors (Hayata) T.P.Lin; Cymbidium ensifolium var. misericors (Hayata) T.S. Liu & H.J. Su; Cymbidium ensifolium var. rubrigemmum (Hayata) T.S.Liu & H.J.Su; Cymbidium ensifolium var. striatum Lindl.; Cymbidium ensifolium var. susin T.C.Yen; Cymbidium ensifolium var. xiphiifolium (Lindl.) S.S.Ying; Cymbidium ensifolium var. yakibaran (Makino) Y.S.Wu & S.C.Chen; Cymbidium estriatum Lindl. ex Steud.; Cymbidium gonzalesii Quisumb.; Cymbidium gyokuchin Makino; Cymbidium gyokuchin var. arrogans (Hayata) S.S.Ying; Cymbidium gyokuchin var. soshin Makino; Cymbidium kanran var. misericors (Hayata) S.S.Ying; Cymbidium koran Makino; Cymbidium micans Schauer; Cymbidium misericors Hayata; Cymbidium misericors var. oreophilum Hayata; Cymbidium niveomarginatum Makino; Cymbidium prompovenium Z.J.Liu & J.N.Zhang; Cymbidium rubrigemmum Hayata; Cymbidium shimaran Makino; Cymbidium xiphiifolium Lindl.; Cymbidium yakibaran Makino; Cymbidium yongfuense Z.J.Liu & J.N.Zhang; Epidendrum ensifolium L.; Jensoa ensata (Thunb.) Raf.; Limodorum ensatum Thunb.; Liuguishania taiwanensis Z.J.Liu & J.N.Zhang ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium erythraeum ,Lindl.,Cymbidium erythraeum var. erythraeum; Cymbidium hennisianum Schltr.; Cyperorchis hennisiana (Schltr.) Schltr. ,"40, 42",NA,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242316337,NA,
Cymbidiinae Benth.,Cymbidium erythrostylum,Rolfe,Cyperorchis erythrostyla (Rolfe) Schltr. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium faberi,Rolfe,Cymbidium cerinum Schltr.; Cymbidium faberi var. faberi; Cymbidium fukiense T.C.Yen; Cymbidium oiwakense Hayata; Cymbidium scabroserrulatum Makino; Eulophia yunnanensis Rolfe; Semiphajus evrardii Gagnep. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium finlaysonianum,Lindl.,Cymbidium pendulum var. brevilabre Lindl.; Cymbidium tricolor Miq.; Cymbidium wallichii Lindl. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,,,,40,NA,Pancho (1965),NA,
Cymbidiinae Benth.,Cymbidium floribundum,Lindl.,"Cymbidium chawalongense C.L.Long, H.Li & Z.L.Dao; Cymbidium floribundum f. virescens (Makino) O.Gruss & M.Wolff; Cymbidium floribundum var. pumilum (Rolfe) Y.S.Wu & S.C.Chen; Cymbidium illiberale Hayata; Cymbidium pumilum Rolfe; Cymbidium pumilum f. virescens Makino ",40,NA,Aoyama (1989),4.40,Nagl & Capesius (1977)
Cymbidiinae Benth.,Cymbidium goeringii ,(Rchb.f.) Rchb.f.,Cymbidium formosanum Hayata; Cymbidium formosanum f. albiflorum S.S.Ying; Cymbidium forrestii Rolfe; Cymbidium goeringii f. albiflorum (S.S.Ying) S.S.Ying; Cymbidium goeringii var. formosanum (Hayata) S.S.Ying; Cymbidium goeringii var. goeringii ; Cymbidium goeringii var. mackinnonii (Duthie) A.N.Rao; Cymbidium mackinnonii Duthie; Cymbidium pseudovirens Schltr.; Cymbidium tentyozanense Masam.; Cymbidium uniflorum T.C.Yen;Cymbidium virens Rchb.f.; Cymbidium virescens Lindl.; Cymbidium yunnanense Schltr.; Maxillaria goeringii Rchb.f. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium grandiflorum,Sw.,Status ambiguous,40,NA,Vijayakumar & Subramanian (1994),NA,
Cymbidiinae Benth.,Cymbidium hookerianum,Rchb.f.,Cymbidium giganteum var. hookerianum (Rchb.f.) Desbois; Cymbidium grandiflorum Griff.; Cymbidium grandiflorum var. punctatum Cogn.; Cyperorchis grandiflora Schltr. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium insigne,Rolfe,Cymbidium insigne f. album (O'Brien) O.Gruss & M.Wolff; Cymbidium insigne subsp. insigne; Cymbidium insigne var. album O'Brien; Cymbidium insigne var. sanderi O'Brien; Cymbidium sanderi O'Brien; Cyperorchis insignis (Rolfe) Schltr. ,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium iridioides,D.Don,Cymbidium giganteum Wall. ex Lindl.; Cyperorchis gigantea (Blume) Schltr.; Iridorchis gigantea Blume; Limodorum longifolium Buch.-Ham. ex Lindl.,40,NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium javanicum,Blume,Cymbidium lancifolium Hook.,"38, 43, 57",NA,Aoyama (1989),NA,
Cymbidiinae Benth.,Cymbidium kanran,Makino,Cymbidium kanran f. purpurascens Makino; Cymbidium kanran var. aestivale Y.S. Wu; Cymbidium kanran var. purpureohiemale (Hayata) S.S.Ying; Cymbidium linearisepalum Yamam.; Cymbidium linearisepalum f. atropurpureum Yamam.; Cymbidium linearisepalum f. atrovirens Yamam.; Cymbidium linearisepalum var. atropurpureum (Yamam.) Masam.; Cymbidium linearisepalum var. atrovirens (Yamam.) Masam.; Cymbidium nigrovenium Z.J.Liu & J.N.Zhang; Cymbidium oreophilum Hayata; Cymbidium purpureohiemale Hayata; Cymbidium sinokanran T.C.Yen; Cymbidium sinokanran var. atropurpureum T.C.Yen; Cymbidium tosyaense Masam. ,40,NA,Tanaka 1965a,NA,
